Abilene Christian,2023,NA
Air Force,2023,NA
Akron,2023,NA
Alabama,2023,1
Alabama A&M,2023,NA
Alabama State,2023,NA
Albany (NY),2023,NA
Alcorn State,2023,NA
American,2023,NA
Appalachian State,2023,NA
Arizona,2023,2
Arizona State,2023,11
Arkansas,2023,8
Arkansas State,2023,NA
Arkansas-Pine Bluff,2023,NA
Army,2023,NA
Auburn,2023,9
Austin Peay,2023,NA
Ball State,2023,NA
Baylor,2023,3
Bellarmine,2023,NA
Belmont,2023,NA
Bethune-Cookman,2023,NA
Binghamton,2023,NA
Boise State,2023,10
Boston College,2023,NA
Boston University,2023,NA
Bowling Green State,2023,NA
Bradley,2023,NA
Brigham Young,2023,NA
Brown,2023,NA
Bryant,2023,NA
Bucknell,2023,NA
Buffalo,2023,NA
Butler,2023,NA
Cal Poly,2023,NA
Cal State Bakersfield,2023,NA
Cal State Fullerton,2023,NA
Cal State Northridge,2023,NA
California,2023,NA
California Baptist,2023,NA
Campbell,2023,NA
Canisius,2023,NA
Central Arkansas,2023,NA
Central Connecticut State,2023,NA
Central Florida,2023,NA
Central Michigan,2023,NA
Charleston Southern,2023,NA
Charlotte,2023,NA
Chattanooga,2023,NA
Chicago State,2023,NA
Cincinnati,2023,NA
Clemson,2023,NA
Cleveland State,2023,NA
Coastal Carolina,2023,NA
Colgate,2023,15
College of Charleston,2023,12
Colorado,2023,NA
Colorado State,2023,NA
Columbia,2023,NA
Connecticut,2023,4
Coppin State,2023,NA
Cornell,2023,NA
Creighton,2023,6
Dartmouth,2023,NA
Davidson,2023,NA
Dayton,2023,NA
Delaware,2023,NA
Delaware State,2023,NA
Denver,2023,NA
DePaul,2023,NA
Detroit Mercy,2023,NA
Drake,2023,12
Drexel,2023,NA
Duke,2023,5
Duquesne,2023,NA
East Carolina,2023,NA
East Tennessee State,2023,NA
Eastern Illinois,2023,NA
Eastern Kentucky,2023,NA
Eastern Michigan,2023,NA
Eastern Washington,2023,NA
Elon,2023,NA
Evansville,2023,NA
Fairfield,2023,NA
Fairleigh Dickinson,2023,16
Florida,2023,NA
Florida A&M,2023,NA
Florida Atlantic,2023,9
Florida Gulf Coast,2023,NA
Florida International,2023,NA
Florida State,2023,NA
Fordham,2023,NA
Fresno State,2023,NA
Furman,2023,13
Gardner-Webb,2023,NA
George Mason,2023,NA
George Washington,2023,NA
Georgetown,2023,NA
Georgia,2023,NA
Georgia Southern,2023,NA
Georgia State,2023,NA
Georgia Tech,2023,NA
Gonzaga,2023,3
Grambling,2023,NA
Grand Canyon,2023,14
Green Bay,2023,NA
Hampton,2023,NA
Hartford,2023,NA
Harvard,2023,NA
Hawaii,2023,NA
High Point,2023,NA
Hofstra,2023,NA
Holy Cross,2023,NA
Houston,2023,1
Houston Christian,2023,NA
Howard,2023,16
Idaho,2023,NA
Idaho State,2023,NA
Illinois,2023,9
Illinois State,2023,NA
